data,brasil_retorno,brasil_peso,brasil_saldo,brasil_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,reits_retorno,reits_peso,reits_saldo,reits_mov,saldo_total,retorno_total
2010-10-01,0.0036,0.36775522103861413,52506.315507463274,0.0,0.0419,0.27384155084313516,39097.774946648475,0.0,0.0393,0.1925079967074722,27485.362639544725,0.0,0.0499,0.1658952314107786,23685.720455681498,0.0,142775.17354933795,0.028273310929009643
2010-11-01,-0.0153,0.41039443882932075,58732.50585219909,7138.76,0.0334,0.23077286287296908,33026.44294566653,-7138.763,0.0112,0.19420547478285052,27793.198701107627,0.0,-0.0053,0.16462722351485962,23560.186137266384,0.0,143112.33363623964,0.0023614755879470817
2010-12-01,-0.006,0.40880774642424894,58380.11081708589,0.0,-0.0146,0.2278917276347999,32544.2568786598,0.0,0.024,0.19929329633547346,28460.23546993421,0.0,-0.0059,0.16400722960547776,23421.18103905651,0.0,142805.7842047364,-0.002142019654870597
2011-01-01,-0.0425,0.4375942451311666,61531.44028235974,5882.49,-0.0506,0.19284107469269815,27115.962340599614,-3983.1,0.0354,0.21030928890729586,29572.22037356988,100.92,0.0454,0.15925539126883925,22393.378584229675,-2000.31,140613.00158075892,-0.015354998652111762
2011-02-01,0.0033,0.4302127391197307,61734.49403529153,0.0,0.0473,0.19790259946871602,28398.547359309974,0.0,0.0205,0.21030631615581832,30178.45089122806,0.0,0.0354,0.1615783452557349,23186.104186111406,0.0,143497.59647194098,0.020514425115413903
2011-03-01,0.0223,0.4412597033868043,63111.17325227853,0.0,-0.007,0.1971666188577042,28199.757527794805,0.0,-0.0215,0.2064646896934999,29529.614197066658,0.0,-0.0432,0.15510898806199153,22184.464485271394,0.0,143025.0094624114,-0.0032933444263087974
2011-04-01,-0.0262,0.427803415804004,61457.66051306883,0.0,0.0612,0.20831034548315291,29925.582688495848,0.0,-0.0012,0.20530736561980495,29494.17866003018,0.0,0.0269,0.15857887309303817,22781.226579925195,0.0,143658.64844152005,0.004430266996592547
2011-05-01,-0.0279,0.42168379944152046,59742.99178475421,0.0,-0.0138,0.20830877389578037,29512.609647394605,0.0,-0.0091,0.20628425649605164,29225.781634223902,0.0,0.0182,0.16372317016664759,23195.844903679834,0.0,141677.22797005254,-0.01379255960544623
2011-06-01,-0.0378,0.4220254657013568,57484.7066952905,0.0,-0.0355,0.2089758900345114,28464.912004912097,0.0,-0.0312,0.20786750493384296,28313.937247236117,0.0,-0.0538,0.1611311393302889,21947.90844786186,0.0,136211.46439530057,-0.0385789844498321
2011-07-01,-0.0379,0.40616619889605443,55306.03631153899,0.0,0.0843,0.22666817479348136,30864.504086926187,0.0,-0.0215,0.20346623056392218,27705.18759642054,0.0,0.0156,0.16369939574654205,22290.295819648505,0.0,136166.02381453422,-0.0003336032026972635
2011-08-01,-0.0547,0.385648512244016,52280.796125297806,0.0,0.1418,0.2599553800092643,35241.09076645232,0.0,-0.0393,0.19633528348239243,26616.373723881214,0.0,-0.0387,0.15806082426432733,21427.66137142811,0.0,135565.92198705944,-0.004407133370451843
2011-09-01,-0.0921,0.3562480856602144,47465.73480215788,0.0,0.0183,0.2693378671361095,35886.00272747839,0.0,0.0614,0.21203145815692367,28250.619070527522,0.0,0.0097,0.16238258904675226,21635.509686730962,0.0,133237.86628689477,-0.017172868122321328
2011-10-01,0.0987,0.3773854394998957,52150.60282713086,0.0,-0.0327,0.25119563045189514,34712.53043828985,0.0,0.0149,0.20748037711325867,28671.553294678382,0.0,0.0471,0.16393855293495058,22654.54219297599,0.0,138189.22875307506,0.03716182646995225
2011-11-01,0.0431,0.36556573268743403,54398.2938089802,0.0,0.1218,0.26168685637072087,38940.51664567355,0.0,0.0967,0.2113096185183165,31444.09249827378,0.0,0.0604,0.16143779242352857,24022.87654143174,0.0,148805.77949435927,0.0768261812956097
2011-12-01,-0.0163,0.3662909181022626,53511.60161989382,0.0,-0.0935,0.24162825568874685,35299.57833930307,0.0,0.0202,0.2195849573117712,32079.26316673891,0.0,0.049,0.17249586889721938,25199.997491961894,0.0,146090.4406178977,-0.018247536390644803
2012-01-01,0.0744,0.46562557934956883,70631.80982041392,12229.1,0.0435,0.20099291426307864,30489.075182062756,-6081.49,-0.0191,0.1889352967652961,28660.027587254197,-2861.17,-0.0001,0.14444620962205634,21911.376135212697,-3286.43,151692.2887249436,0.03834506955658812
2012-02-01,0.0181,0.47824322549570825,71910.24557816342,0.0,-0.057,0.19121149578095095,28751.19789668518,0.0,0.0046,0.19148194613970154,28791.863714155566,0.0,-0.0457,0.1390633325836393,20910.026245833476,0.0,150363.33343483764,-0.00876086254137598
2012-03-01,0.0067,0.4572325586613903,72392.04422353712,0.0,0.0589,0.19229022156735148,30444.643452799937,0.0,0.1109,0.20201845821441133,31984.88140005542,0.0,0.1241,0.148458761556847,23504.960502941412,0.0,158326.52957933387,0.05295969411284185
2012-04-01,-0.0367,0.43873631033145943,69735.2562005333,0.0,0.0316,0.19759384101507868,31406.694185908415,0.0,0.0259,0.20644337589746245,32813.289828316854,0.0,0.0632,0.15722647275599935,24990.47400672731,0.0,158945.7142214859,0.003910807896801316
