data,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,bil_retorno,bil_peso,bil_saldo,bil_mov,saldo_total,retorno_total
2009-10-01,0.0061,0.2952723335314325,30058.069589819814,-3110.13,-0.0494,0.23613645465722632,24038.168093471784,976.0,-0.0932,0.1997801366149201,20337.175438062943,976.0,-0.0636,0.2383161877165886,24260.060091282572,976.0,-0.0302,0.0304948874798324,3104.31200593655,182.13,101797.78521857367,-0.045938349225374986
2009-11-01,0.1351,0.2939527725314533,32350.985190404474,-1557.51,0.0629,0.23717218049520303,26101.994659551157,519.17,0.0366,0.19644431530348805,21619.687681096046,519.17,0.0841,0.244088434922731,26863.163341959436,519.17,0.0048,0.028342296747124553,3119.2127035650456,0.0,110055.04357657616,0.08111432228385951
2009-12-01,-0.0716,0.27232864208373875,30034.654650771514,0.0,0.0166,0.2332758419241563,25727.58890489971,-794.51,0.0737,0.20274135583412486,22359.993276192825,-794.51,0.023,0.24180479490177956,26668.232368824505,-794.51,-0.0009,0.04984936525620066,5497.800226131837,2383.54,110288.26942682038,0.00211917457541988
2010-01-01,0.0535,0.3579723309948896,40666.04251458779,8566.24,0.0289,0.2071563526867764,23533.18487525131,-2855.41,0.0285,0.17658691573909266,20060.46389956432,-2855.41,-0.0145,0.206578467052044,23467.53644447655,-2855.41,0.0684,0.051705933527197455,5873.849761599255,0.0,113601.07749547921,0.030037719205096236
2010-02-01,0.0035,0.30711547418307156,35108.443488388846,-5680.05,0.0086,0.2243346021750974,25645.20307517847,1893.35,0.0245,0.19674878749154537,22491.682340103645,1893.35,-0.0019,0.22142599683759467,25312.700760232045,1893.35,-0.0196,0.050375139312691046,5758.7223062719095,0.0,114316.75197017491,0.0062998916073149225
2010-03-01,-0.0122,0.2947326351257774,34680.120477830504,0.0,0.0391,0.22647022770519148,26647.93051541795,0.0,0.0595,0.20252121848506371,23829.937439339814,0.0,0.061,0.2282451187302985,26856.775506606198,0.0,-0.0186,0.04803079995366884,5651.610071375252,0.0,117666.37401056972,0.02930123523163708
2010-04-01,0.0237,0.3024823848623058,35502.03933315509,0.0,-0.019,0.22273028988109336,26141.61983562501,0.0,0.0216,0.20741997334057038,24344.664088029553,0.0,-0.0349,0.22083757636720225,25919.47404142564,0.0,-0.0337,0.04652977554882815,5461.1508119699065,0.0,117368.94811020521,-0.002527705156766369
2010-05-01,0.0798,0.3263173278472515,38335.10207194086,0.0,-0.0371,0.214267939549734,25171.765739723323,0.0,-0.0302,0.20096918821199433,23609.45523257106,0.0,-0.0497,0.2096671663989022,24631.276181566787,0.0,0.0493,0.04877837799211801,5730.385547000023,0.0,117477.98477280205,0.0009290077516452833
2010-06-01,0.0221,0.34204605500931173,39182.30782773076,0.0,-0.0549,0.20767586025547458,23789.835800612513,0.0,-0.0785,0.1899222642937442,21756.112996814234,0.0,-0.0216,0.2103768419583606,24099.240616044946,0.0,-0.0009,0.049978978483108887,5725.228200007723,0.0,114552.72544121018,-0.024900489544906756
2010-07-01,-0.075,0.31500181822805084,36243.63474065095,0.0,0.0396,0.21495078275055945,24731.91329831677,0.0,0.0348,0.19566765556468926,22513.225729103367,0.0,0.079,0.22599879219972302,26003.080624712497,0.0,-0.0277,0.04838095125697758,5566.639378867509,0.0,115058.49377165108,0.004415157548568915
2010-08-01,0.0544,0.33762051551299727,38215.288470542364,0.0,-0.0493,0.20772697446917776,23512.629972709754,0.0,-0.0763,0.18372165792373527,20795.46660597278,0.0,-0.0343,0.221849635949392,25111.174959284857,0.0,-0.002,0.049081216144697674,5555.506100109774,0.0,113190.06610861953,-0.01623893727254666
2010-09-01,0.0128,0.3267498420592091,38704.44416296531,0.0,0.0511,0.2086410678169214,24714.125364315223,0.0,0.084,0.19030600966845085,22542.28580087449,0.0,0.0801,0.228973673357698,27122.580073523575,0.0,-0.0335,0.04532940709772063,5369.396645756096,0.0,118452.8320474347,0.04649494535823395
2010-10-01,0.0419,0.3280321096641323,40326.160373393555,0.0,0.0393,0.20893714532545513,25685.39049113281,0.0,0.0439,0.191419568688643,23531.892147532883,0.0,0.0326,0.22782039726658654,28006.776183920443,0.0,0.0026,0.04379077905518288,5383.3570770350625,0.0,122933.57627301477,0.037827244381845926
2010-11-01,0.0334,0.33247724986787397,41673.0541298649,0.0,0.0112,0.20721912569396184,25973.066864633496,0.0,0.0488,0.19690472209105717,24680.248484332486,0.0,-0.016,0.21986941585728037,27558.667764977716,0.0,0.0135,0.0435294864898267,5456.032397575036,0.0,125341.06964138363,0.019583692603412306
2010-12-01,-0.0146,0.3243645579674277,41064.62753956887,0.0,0.024,0.2100819290459924,26596.4204693847,0.0,0.0338,0.20153550232153483,25514.440883102925,0.0,0.0226,0.22260223166357496,28181.493656466213,0.0,-0.039,0.04141577900147019,5243.24713406961,0.0,126600.22968259231,0.01004586960053322
2011-01-01,-0.0506,0.3118826330645024,38986.75738606669,0.0,0.0354,0.22029539936612139,27537.93375400092,0.0,0.0087,0.20588378946314603,25736.41651878592,0.0,-0.0265,0.21946943219052,27434.684074569857,0.0,0.0125,0.04246874591571023,5308.78772324548,0.0,125004.57945666886,-0.012603849376292664
2011-02-01,0.0473,0.31859090564287346,40830.831010427646,0.0,0.0205,0.21927519977846166,28102.461395957936,0.0,0.0437,0.209589207501519,26861.097920656866,0.0,-0.0116,0.21158157984418804,27116.441739304846,0.0,-0.0111,0.040963107232957756,5249.860179517455,0.0,128160.69224586476,0.02524797733742168
2011-03-01,-0.007,0.3159203887561731,40545.01519335465,0.0,-0.0215,0.2142621100623505,27498.25847594484,0.0,0.0022,0.2097579095148543,26920.192336082313,0.0,0.0412,0.21999208066013998,28233.639138964205,0.0,-0.0205,0.04006751100648204,5142.238045837347,0.0,128339.34319018337,0.0013939605130712795
2011-04-01,0.0612,0.32973428694899315,43026.37012318795,0.0,-0.0012,0.21048110920337823,27465.260565773708,0.0,-0.0032,0.20564378463199934,26834.04772060685,0.0,-0.0023,0.21587195864928788,28168.701768944586,0.0,-0.0289,0.038268860566341455,4993.627366312648,0.0,130488.00754482574,0.016742055095749553
2011-05-01,-0.0138,0.32997139090462824,42432.60621548796,0.0,-0.0091,0.21163628643841137,27215.326694625168,0.0,-0.0136,0.20583339237131945,26469.104671606598,0.0,-0.0251,0.21355192107506343,27461.667354544075,0.0,0.0045,0.039007009210577495,5016.098689461054,0.0,128594.80362572486,-0.014508643014190525
2011-06-01,-0.0355,0.279297609495633,34724.76446483814,-6429.74,-0.0312,0.2287689280665981,28442.589101752863,2143.25,-0.0369,0.2216424247356119,27556.558784224315,2143.25,-0.0321,0.23047416640055596,28654.599507463212,2143.25,-0.0131,0.039816871301600935,4950.387796629115,0.0,124328.89965490765,-0.033173222016288584
2011-07-01,0.0843,0.37366350333849485,47183.44945722399,8790.36,-0.0215,0.19769892835601738,24963.951016065177,-2930.12,-0.037,0.18781007835037644,23715.260549208015,-2930.12,-0.0103,0.20162350490841488,25459.51736853634,-2930.12,0.0,0.039203985046696456,4950.387796629115,0.0,126272.56618766264,0.0156332641738961
2011-08-01,0.1418,0.41946892910196787,53874.062590258356,0.0,-0.0393,0.18673304674792837,23982.867741133814,0.0,-0.0721,0.1713362060431749,22005.390263610116,0.0,-0.0758,0.1832045272593998,23529.685952001288,0.0,0.0185,0.03925729084752906,5041.969970866753,0.0,128433.97651787032,0.017117022291250894
2011-09-01,0.0183,0.4205886823566323,54859.95793566008,0.0,0.0614,0.19515617950919914,25455.41582043943,0.0,0.012,0.17073073085197454,22269.454946773436,0.0,-0.0613,0.1693343481883348,22087.316203143608,0.0,0.1432,0.04419005909385912,5763.980070694872,0.0,130436.12497671144,0.015588931473771828
2011-10-01,-0.0327,0.43489950384487,56776.880628164,3836.29,0.0149,0.1809885677658391,23628.36981016398,-2173.94,0.0545,0.1623166636586893,21190.72051137259,-2173.94,0.0655,0.16252333908164587,21217.702344449517,-2173.94,-0.0842,0.0592719256489558,7738.052164742363,2685.52,130551.72545889244,0.0008862612424407335
2011-11-01,0.1218,0.45626490458717367,65903.82120867437,1971.4,0.0967,0.16288174780703593,23526.967508806832,-2175.86,0.0981,0.14455779116066858,20880.21832753824,-2175.86,0.0806,0.14245588546060148,20576.614837412148,-2175.86,0.1025,0.09383967098452033,13554.390961628455,4556.18,144442.01284406005,0.10639681196355633
2011-12-01,-0.0935,0.4255590618101237,58921.503945663324,-904.92,0.0202,0.16629713288714093,23024.95247048473,-957.91,0.0119,0.1456006361120391,20159.383796635946,-957.91,-0.0407,0.13592858533628105,18820.223550529474,-957.91,0.0114,0.1266145838544152,17530.63762859102,3778.65,138456.7013919045,-0.04143746915668722
2012-01-01,0.0435,0.437677910609317,61484.589367299675,0.0,-0.0191,0.16077252350350632,22585.175878298473,0.0,0.0071,0.14452341019556053,20302.515421592063,0.0,0.0432,0.13975929711233565,19633.257207912346,0.0,-0.0603,0.11726685857928046,16473.54017958698,0.0,140479.07805468954,0.014606563947097584
2012-02-01,-0.057,0.4243490834472159,57979.96777336359,0.0,0.0046,0.1660588207814977,22689.067687338644,0.0,-0.0098,0.14713570343512047,20103.55077046046,0.0,0.0163,0.14603588287576585,19953.27930040132,0.0,-0.0344,0.11642050946040013,15906.850397409187,0.0,136632.7159289732,-0.027380320108727707
2012-03-01,0.0589,0.418419618417019,61394.987875214705,0.0,0.1109,0.18902005472037314,27735.037882864497,2277.21,0.1005,0.16785876096663713,24630.027227891736,2277.21,0.0435,0.15809589602026683,23197.515584968776,2277.21,0.0769,0.06660566987570395,9773.094076969955,-6831.64,146730.66264790966,0.07390577469151505
2012-04-01,0.0316,0.3707275633072106,55766.70514407149,-7336.53,0.0259,0.20583159531322603,30962.224073030688,2445.51,0.017,0.18305345331711093,27535.821360765898,2445.51,0.0161,0.17321504374122007,26055.878296886774,2445.51,0.0339,0.06717234432123247,10104.401966179237,0.0,150425.03084093408,0.02517788801846632
2012-05-01,0.0026,0.32234254419683156,48370.89332744608,-7521.25,0.0028,0.22366319720244088,33563.01812443518,2507.08,-0.0005,0.20010511572590267,30027.879910085518,2507.08,-0.0446,0.18185361724030646,27289.050356845626,2507.08,0.0698,0.0720355256345186,10809.689223418547,0.0,150060.53094223092,-0.0024231332821769147
2012-06-01,0.0549,0.2773964784668045,44323.68406512287,-6353.94,0.071,0.24172902297061546,38624.574121270074,2501.01,0.0769,0.2192349110126953,35030.36154417109,2501.01,0.0694,0.19937773397080172,31857.490545610715,2501.01,0.0298,0.062261853579083204,9948.48508027642,-1149.09,159784.59535645114,0.06480094634586964
2012-07-01,-0.0086,0.3524208096980646,55443.66238416282,11600.93,-0.0062,0.2304171556922949,36249.7634537182,-2148.66,-0.0335,0.20200670083410874,31780.164542441362,-2148.66,-0.019,0.18525255154853068,29144.36276524411,-2148.66,-0.0186,0.029902782227000872,4704.3753277832775,-5154.95,157322.3284733498,-0.015409914063420627
