data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,saldo_total,retorno_total
2018-08-01,0.1471,0.4711250219378923,201775.99941474077,0.0,0.1614,0.21897667549470284,93784.52743757215,0.0,0.0715,0.22092607331336517,94619.42619013588,0.0,0.0932,0.0889722292540398,38105.512638761866,0.0,428285.4656812106,0.12761696404126832
2018-09-01,-0.0289,0.4758906572574736,195944.67303165476,0.0,-0.0581,0.2145407076958458,88335.6463934492,0.0,-0.0387,0.22090877625641114,90957.65439657762,0.0,-0.042,0.08865985879026946,36505.08110793387,0.0,411743.05492961546,-0.038624730646144134
2018-10-01,-0.1426,0.47832011931745394,168002.9626573408,0.0,-0.1799,0.2062550124139458,72444.06360726769,0.0,-0.1594,0.21768592335750672,76459.00428576315,0.0,-0.0596,0.09773894491109356,34329.378273901006,0.0,351235.4088242726,-0.14695486755857046
2018-11-01,0.0604,0.475749661175551,178150.34160184418,0.0,0.0598,0.20503053579402594,76776.2186109823,0.0,0.0929,0.22315205579386774,83562.04578391055,0.0,0.0479,0.09606774723655527,35973.755493220866,0.0,374462.3614899579,0.06612930269028205
2018-12-01,-0.085,0.46714164020915,163007.56256568743,0.0,-0.1161,0.1944780897707845,67862.49963024724,0.0,-0.042,0.22941161422701495,80052.43986098631,0.0,0.057,0.10896865579305043,38024.25955633446,0.0,348946.7616132555,-0.06813929115646689
2019-01-01,0.0243,0.4465753688717726,160841.77540003366,-5981.52,0.0571,0.20483356859601604,73774.32149413436,1926.85,0.0478,0.2537894003886167,91406.60363634146,7184.25,-0.0215,0.09480166214359462,34144.44394587327,-3129.58,360167.14447638276,0.03215499926479626
2019-02-01,0.0409,0.45109145324151556,167420.20401389504,0.0,0.0632,0.2113376742528881,78436.85861256365,0.0,-0.0046,0.2451500242676758,90986.13325961429,0.0,0.0046,0.09242084823792066,34301.50838802428,0.0,371144.7042740972,0.030479070526196583
2019-03-01,0.0659,0.45716197254141533,178453.19545841072,0.0,0.0225,0.2054609431994749,80201.68793134633,0.0,0.059,0.24684079571040954,96354.31512193153,0.0,0.0303,0.09053628854870027,35340.84409218142,0.0,390350.04260387,0.05174622757270786
2019-04-01,0.051,0.4612296048057856,187554.30842678965,0.0,0.0456,0.20622400341950597,83858.88490101573,0.0,0.035,0.24524583980405268,99726.71615119914,0.0,0.0045,0.08730055197065575,35499.87789059623,0.0,406639.78736960073,0.04173112075784169
2019-05-01,-0.0569,0.45987685778306797,176882.4682773053,0.0,-0.0698,0.20280664643002289,78005.53473492483,0.0,-0.0645,0.2425560300406042,93294.3429594468,0.0,0.0267,0.09476046574630499,36447.72463027515,0.0,384630.0706019521,-0.054125831881875586
2019-06-01,0.0253,0.4612444845134186,181357.59472472113,0.0,0.0226,0.20287411831813176,79768.45981993413,0.0,0.011,0.239884343993275,94320.58073200072,0.0,0.0356,0.0959970531751745,37745.263627112945,0.0,393191.898903769,0.02225990362224528
2019-07-01,0.0057,0.466704757674738,182391.33301465205,0.0,-0.0006,0.20398986127007665,79720.59874404216,0.0,-0.0337,0.23321499800464213,91141.9771613323,0.0,-0.0051,0.0960903830505432,37552.76278261467,0.0,390806.6717026412,-0.006066318273031279
2019-08-01,0.0797,0.4676075849874294,196927.9222559198,0.0,0.0453,0.19787264112892058,83331.94186714727,0.0,0.058,0.22896988271177074,96428.21183668957,0.0,0.1837,0.10554989117187935,44451.20530578098,0.0,421139.2812655376,0.07761538315286498
2019-09-01,0.015,0.4700366954841796,199881.8410897586,0.0,0.0147,0.19884175423040829,84556.92141259433,0.0,0.0148,0.23011397535382,97855.34937187258,0.0,-0.0337,0.10100757493159208,42953.199686976164,0.0,425247.3115612017,0.009754564531048615
2019-10-01,-0.0215,0.46684650992583865,195584.3815063288,0.0,-0.015,0.19880410080449978,83288.56759140542,0.0,-0.001,0.23334043624553796,97757.4940225007,0.0,-0.0148,0.10100895302412376,42317.49233160892,0.0,418947.9354518438,-0.014813441350707501
2019-11-01,0.0862,0.47305943469587813,212443.75519217434,0.0,0.0931,0.2027295360033645,91042.73323416527,0.0,0.0494,0.22843511213466006,102586.71422721223,0.0,0.0164,0.09577591716609728,43011.49920584731,0.0,449084.70185939915,0.0719343953206315
2019-12-01,-0.0134,0.4703789031449567,209597.0088725992,0.0,-0.0177,0.20070222442873925,89431.27685592054,0.0,0.0118,0.2329424020229242,103797.23745509333,0.0,-0.0057,0.09597647040337981,42766.33366037398,0.0,445591.8568439871,-0.007777697616842105
2020-01-01,0.0539,0.4572807357028568,211324.1695378323,-9080.67,0.0229,0.19725777616793358,91159.17745692113,-312.91,-0.0093,0.2388103607839146,110361.96635776096,7600.73,0.1061,0.10665112734529499,49286.92410773966,1792.86,462132.23746025405,0.03712002443989504
2020-02-01,-0.0315,0.44803432085173445,204667.45819739057,0.0,-0.0361,0.19235118478640917,87868.33115072627,0.0,0.0175,0.245819502471789,112293.30076902178,0.0,0.0547,0.11379499189006749,51982.91885643302,0.0,456812.0089735716,-0.01151235091479641
2020-03-01,0.0128,0.45445328685753006,207287.20166231718,0.0,-0.0945,0.17443659187548913,79564.77385698263,0.0,-0.0249,0.2400599793079645,109497.19757987313,0.0,0.1499,0.1310501419590164,59775.15839301233,0.0,456124.33149218524,-0.0015053839826398852
